"","GSM3317067","GSM3317068","GSM3317069","GSM3317070","GSM3317071","GSM3317072"
"ENSMUSG00000002319",18,32,15,29,34,40
"ENSMUSG00000002320",12,19,13,14,10,40
"ENSMUSG00000002324",0,0,0,0,4,0
"ENSMUSG00000002325",2,0,0,0,3,0
"ENSMUSG00000002326",10,0,3,23,24,12
"ENSMUSG00000002329",24,26,43,22,12,1
"ENSMUSG00000002332",1681,1746,2630,1550,2342,2295
"ENSMUSG00000002341",0,16,5,0,0,0
"ENSMUSG00000002342",1,3,23,3,6,13
"ENSMUSG00000002343",0,1,11,1,0,3
"ENSMUSG00000002345",57,69,59,56,47,48
"ENSMUSG00000002346",2,0,1,1,0,0
"ENSMUSG00000002365",3561,4018,4541,3497,5159,4340
"ENSMUSG00000002372",829,774,1727,1183,1049,1506
"ENSMUSG00000002379",119,114,208,177,247,389
"ENSMUSG00000002384",0,5,4,6,0,0
"ENSMUSG00000002393",1,0,0,1,0,0
"ENSMUSG00000002395",72,57,78,101,85,114
"ENSMUSG00000002396",0,6,0,3,0,2
"ENSMUSG00000002409",97,105,128,89,117,104
"ENSMUSG00000002413",187,187,157,106,167,165
"ENSMUSG00000002416",115,114,121,115,143,103
"ENSMUSG00000002428",894,719,1218,1034,747,630
"ENSMUSG00000002455",1746,2271,2960,1822,2634,2368
"ENSMUSG00000002458",161,316,357,303,333,293
"ENSMUSG00000002459",4,7,0,0,0,4
"ENSMUSG00000002475",229,203,341,252,314,305
"ENSMUSG00000002477",3374,3529,4382,3799,5021,4175
"ENSMUSG00000002486",75,134,120,91,255,116
"ENSMUSG00000002489",7041,8688,8375,6990,11123,8719
"ENSMUSG00000002496",352,396,417,414,336,320
"ENSMUSG00000002500",0,1,0,0,0,3
"ENSMUSG00000002504",59,39,106,79,74,92
"ENSMUSG00000002524",140,160,368,238,266,473
"ENSMUSG00000002546",633,803,732,581,799,886
"ENSMUSG00000002550",0,0,0,0,0,0
"ENSMUSG00000002565",897,867,1084,908,1096,1012
"ENSMUSG00000002578",556,575,863,441,598,728
"ENSMUSG00000002580",19,33,53,42,42,43
"ENSMUSG00000002588",13,4,4,1,0,3
"ENSMUSG00000002602",0,0,0,0,1,0
"ENSMUSG00000002603",0,0,0,2,2,0
"ENSMUSG00000002608",136,241,299,115,208,165
"ENSMUSG00000002617",172,122,199,160,152,106
"ENSMUSG00000002625",144,114,122,106,174,131
"ENSMUSG00000002633",6,4,8,3,4,5
"ENSMUSG00000002635",2572,2224,2859,2330,3069,3585
"ENSMUSG00000002658",326,351,522,521,529,540
"ENSMUSG00000002660",30,20,31,29,30,14
"ENSMUSG00000002661",341,372,465,399,405,461
"ENSMUSG00000002664",0,0,0,0,0,9
"ENSMUSG00000002668",45,22,54,37,51,32
"ENSMUSG00000002679",6833,6135,7497,7171,7076,6849
"ENSMUSG00000002688",618,522,549,509,722,623
"ENSMUSG00000002699",825,856,628,553,555,629
"ENSMUSG00000002718",1124,1235,1287,791,936,1044
"ENSMUSG00000002728",729,660,898,829,895,995
"ENSMUSG00000002731",11,43,27,18,17,21
"ENSMUSG00000002732",4,12,39,9,21,12
"ENSMUSG00000002733",1732,1595,1881,1694,2095,1794
"ENSMUSG00000002741",34,46,74,59,56,56
"ENSMUSG00000002748",1498,1815,2027,1092,2067,2041
"ENSMUSG00000002763",1,5,22,10,0,1
"ENSMUSG00000002767",670,557,738,701,653,687
"ENSMUSG00000002768",1707,1736,1688,1741,1474,1944
"ENSMUSG00000002769",0,13,18,3,0,2
"ENSMUSG00000002771",0,1,0,7,4,0
"ENSMUSG00000002778",2058,1795,1800,1469,1376,1800
"ENSMUSG00000002781",52,24,56,26,52,92
"ENSMUSG00000002791",0,0,0,0,0,3
"ENSMUSG00000002797",11166,10928,12920,11767,14056,11502
"ENSMUSG00000002799",232,285,349,243,449,423
"ENSMUSG00000002803",0,0,0,0,0,0
"ENSMUSG00000002804",646,473,746,512,634,620
"ENSMUSG00000002808",0,1,0,0,2,0
"ENSMUSG00000002812",164,146,181,143,244,195
"ENSMUSG00000002814",488,490,599,600,842,516
"ENSMUSG00000002820",0,0,0,0,0,0
"ENSMUSG00000002825",34,68,31,37,32,39
"ENSMUSG00000002831",0,0,0,0,0,0
"ENSMUSG00000002833",26,35,25,49,31,42
"ENSMUSG00000002835",910,1435,1684,1308,1847,1593
"ENSMUSG00000002844",517,441,890,483,604,842
"ENSMUSG00000002845",1623,1786,2309,1557,1466,1889
"ENSMUSG00000002846",51,49,88,63,71,78
"ENSMUSG00000002847",62,57,91,70,206,127
"ENSMUSG00000002870",1112,1320,2104,1240,1682,2158
"ENSMUSG00000002871",1178,1194,2400,1225,2957,2690
"ENSMUSG00000002881",455,327,464,582,426,604
"ENSMUSG00000002885",0,0,0,1,0,4
"ENSMUSG00000002897",52,34,187,134,120,117
"ENSMUSG00000002900",3550,4004,4578,3284,6431,4774
"ENSMUSG00000002908",7,12,8,13,0,5
"ENSMUSG00000002910",769,843,1402,808,885,1311
"ENSMUSG00000002930",0,0,0,0,0,0
"ENSMUSG00000002944",1401,1573,1536,1461,1632,1388
"ENSMUSG00000002948",25,29,36,14,27,39
"ENSMUSG00000002949",366,483,608,482,498,564
"ENSMUSG00000002957",51,32,15,82,52,43
"ENSMUSG00000002963",0,0,0,0,4,10
"ENSMUSG00000002968",435,373,715,420,617,833
"ENSMUSG00000002980",1,2,0,0,0,0
"ENSMUSG00000002981",205,248,272,289,284,353
"ENSMUSG00000002983",19,14,18,27,50,52
"ENSMUSG00000002984",318,291,399,278,127,235
"ENSMUSG00000002985",77,77,118,103,127,131
"ENSMUSG00000002992",0,0,0,0,0,0
"ENSMUSG00000002996",766,634,904,563,607,766
"ENSMUSG00000002997",1419,1481,1504,1349,1516,1473
"ENSMUSG00000003031",296,266,283,234,223,223
"ENSMUSG00000003032",56,80,91,89,86,105
"ENSMUSG00000003033",915,957,1070,915,935,1278
"ENSMUSG00000003037",1217,1041,1441,944,1093,1413
"ENSMUSG00000003038",70,60,54,61,65,74
"ENSMUSG00000003039",2003,2227,2646,1927,1615,2033
"ENSMUSG00000003051",213,200,321,194,242,337
"ENSMUSG00000003053",233,188,143,285,270,242
"ENSMUSG00000003062",9563,10180,12386,9783,11552,9986
"ENSMUSG00000003068",219,281,253,277,220,245
"ENSMUSG00000003070",171,136,322,162,216,160
