"","Mmus_C57-6J_SPL_cells_Rep1_SP1","Mmus_C57-6J_SPL_ss-tissues_Rep1_SP1","Mmus_C57-6J_SPL_ss-tissues_Rep2_SP2","Mmus_C57-6J_SPL_ss-tissues_Rep3_SP3","Mmus_C57-6J_SPL_tissues_Rep1_SP1"
"ENSMUSG00000000439",353.67,276.03,465.18,428.7,328.38
"ENSMUSG00000000440",27,89,112,119,96
"ENSMUSG00000000441",932.74,942.59,1292.84,1131.86,960.06
"ENSMUSG00000000486",2376,1477,2628,2063,1411
"ENSMUSG00000000489",55,112,167,141,105
"ENSMUSG00000000530",97,292,390,316,265
"ENSMUSG00000000531",20,34,73,48,20
"ENSMUSG00000000532",462,321,602,531,344
"ENSMUSG00000000538",325.77,349,533,537,397
"ENSMUSG00000000544",0,0,0,0,0
"ENSMUSG00000000552",101,182,327,263,180
"ENSMUSG00000000555",63,128,153,126,99
"ENSMUSG00000000560",0,1,1,0,0
"ENSMUSG00000000561",488.95,494.53,687.12,623.22,491.94
"ENSMUSG00000000562",11,12,14,20,7
"ENSMUSG00000000563",1139.26,1150.27,1542.14,1553.87,1115.24
"ENSMUSG00000000567",0,5,10,14,7
"ENSMUSG00000000568",1372.13,936.38,1336.36,1343.66,987.77
"ENSMUSG00000000579",197.75,228.89,268.6,310.51,193.45
"ENSMUSG00000000581",292,218,301,314,247
"ENSMUSG00000000594",1301,1965,3932,3288,2006
"ENSMUSG00000000600",1047,811,605,944,831
"ENSMUSG00000000605",812.46,817.45,808.37,938.66,785.91
"ENSMUSG00000000606",0,0,0,0,0
"ENSMUSG00000000617",41,35,38,50,37
"ENSMUSG00000000627",95,55,110,86,46
"ENSMUSG00000000628",143,181,223,168,200
"ENSMUSG00000000631",1137,1177,1729,1485,1166
"ENSMUSG00000000632",0,1,0,0,0
"ENSMUSG00000000673",841,532,746,752,646
"ENSMUSG00000000682",4669,2592,5082,3924,2667
"ENSMUSG00000000686",43.64,43.89,74.76,58.46,40.57
"ENSMUSG00000000690",1,4,6,7,2
"ENSMUSG00000000693",36.53,76.84,94,96.1,84.87
"ENSMUSG00000000701",0,0,0,0,0
"ENSMUSG00000000706",0,8,0,2,5
"ENSMUSG00000000708",368,346,364,463,445.99
"ENSMUSG00000000711",935.95,1161.97,1481,1334.98,1200.87
"ENSMUSG00000000724",1,0,0,0,0
"ENSMUSG00000000730",0,0,2,3,1
"ENSMUSG00000000731",10,27,35,45,30
"ENSMUSG00000000732",1691,1347,2284,1933,1413
"ENSMUSG00000000738",606,478,687,614,479
"ENSMUSG00000000739",0,1,1,0,2
"ENSMUSG00000000740",7752.06,7704.11,16465.31,13343.38,6539.65
"ENSMUSG00000000743",742,792,1346,1124,850
"ENSMUSG00000000751",1069,1150,1465,1272,1236
"ENSMUSG00000000753",4,35,51,36,25
