"","RR3_HRT_FLT_F1","RR3_HRT_FLT_F2","RR3_HRT_FLT_F9","RR3_HRT_GC_G7","RR3_HRT_GC_G8"
"ENSMUSG00000002992",0,0,0,0,0
"ENSMUSG00000002996",5675,5758,8757,4514,2450
"ENSMUSG00000002997",145,188,254,212,65
"ENSMUSG00000003031",1940,1583,2764,1516,914
"ENSMUSG00000003032",1336,1692,1449,979,779
"ENSMUSG00000003033",2179,1946,2695,1580,734
"ENSMUSG00000003037",1563,1398,2138,1172,788
"ENSMUSG00000003038",939,621,1382,839,562
"ENSMUSG00000003039",2143,1684,2950,1478,895
"ENSMUSG00000003051",3,0,0,0,0
"ENSMUSG00000003053",1,14,10,0,14
"ENSMUSG00000003062",595,481,788,440,210
"ENSMUSG00000003068",3395,2993,4793,2467,1592
"ENSMUSG00000003070",76,64,135,51,59
"ENSMUSG00000003072",23576,19750,32525,18527,9942
"ENSMUSG00000003099",3755,3165,5219,2896,1524
"ENSMUSG00000003119",1717,1950,2431,1407,772
"ENSMUSG00000003123",2916,3238,2780,1449,773
"ENSMUSG00000003131",2171,1937,3032,1615,970
"ENSMUSG00000003134",583,466,829,498,307
"ENSMUSG00000003135",1107,967,1538,846,538
"ENSMUSG00000003153",110,109,172,201,40
"ENSMUSG00000003154",2949,2048,4084,2239,1483
"ENSMUSG00000003161",2478,2107,3985,1960,1173
"ENSMUSG00000003166",1927,1897,3166,1642,942
"ENSMUSG00000003184",1159,838,1397,784,410
"ENSMUSG00000003190",318,276,417,262,163
"ENSMUSG00000003198",231,188,329,221,74
